Topic_Name,Ratio_orgnization_users_Nametype,Ratio_of_tweets_containing_mention,Ratio_of_tweets_containing_URLs,Ratio_of_tweets_containing_hashtag,Ratio_of_tweet_containing_NSFW_content,Ratio_of_tweets_that_are_retweets,Ratio_of_tweets_have_multimedia,Ratio_of_tweets_from_credible_authors,Ratio_of_tweets_containing_question_marks,Ratio_of_tweets_with_positive_sentimnet,Ratio_of_tweets_with_negative_sentiment,Ratio_of_tweets_with_netural_sentiment,Ratio_of_tweets_containing_exclamation,Ratio_of_tweets_containing_happy_smileys,Ratio_of_tweets_having_specific_words_in_tweet,Ratio_of_tweets_from_authors_have_URL_in_their_home_page,Ratio_of_Authorsr_who_follwed_by__credibleuser,Ratio_of_authors_have_description,Average_tweet_length,Average_registration_age,Average_number_of_tweets_posted_Activity,Average_number_of_favorites,Average_Number_of_followers,Average_Number_of_following,Average_Time_span,Average_number_of_retweets,Average_listed_counts,Average_user_effect,Average_of_Reputaion,Topic_Detection
"""سعود الطبية"" تعيد يد مقيم قطعها منشار كهربائي",0.373,0.137,0.863,0.627,0,0.549,0.412,0.098,0.059,0.039,0.294,0.667,0,0,0.02,0.373,0,1,155.039,4.314,67883.6,0,111048,498.804,4.314,3.078,220.157,22479.6,0.723,"Not Rumor"
"""شرطة الرياض"" تطيح بجناة سرقوا سيارة مواطن",0.205,0,1,0.872,0.051,0.821,0.872,0.051,0,0,0.872,0.128,0,0,0,0.154,0,1,176.051,4.051,83991.6,0,126977,1048,4.051,28.667,133.795,10526,0.562,"Not Rumor"
"126 قتيلاً حصيلة العاصفة في الفلبين",0.486,0,0.865,0.378,0.027,0.351,0.676,0.243,0,0,1,0,0,0,0,0.649,0,1,120.838,5.757,143227,0,229954,1506.14,5.757,1.757,313.973,31993.7,0.725,"Not Rumor"
"«مسام» ينتزع 8,683 لغمًا حوثيًا خلال الأسبوع الرابع من شهر ديسمبر 2018",0.189,0,0.108,0.919,0,0.811,0.027,0.054,0,0,0.162,0.838,0,0,0,0.189,0,1,197.027,3.73,69733.1,0,446375,890,3.73,11.351,357.757,61784.4,0.595,"Not Rumor"
"أرقام إصابات الجرب خارج مكة ",0.038,0,0.154,0.885,0,0.846,0,0,0,0.269,0,0.731,0,0,0,0.077,0,1,235.154,1.538,26992.6,2.231,1967,528.423,1.538,15.385,4.846,11.449,0.498,Rumor
"أمطار غزيرة على جدة الثلاثاء القادم",0,0.048,0.143,0.095,0,0.571,0,0,0.524,0.238,0.714,0.048,0,0,0,0,0,1,207.762,1.286,26347.3,0.476,4498.43,2748.24,1.286,6.381,21.905,5.156,0.516,Rumor
"أمطار غزيرة على معظم مناطق المملكه",0.021,0.005,0.039,0.828,0.001,0.955,0.049,0.007,0.563,0.276,0.722,0.002,0.001,0,0.604,0.077,0,0.909,232.195,2.281,22047.1,0.608,20280.8,1598.88,2.281,404.157,24.038,2972.82,0.426,"Not Rumor"
"أمير الرياض يكرّم 26 منشأة فائزة بجائزة الملك عبد العزيز للجودة",0.408,0,0.816,0.633,0.02,0.449,0.245,0.061,0,0.408,0,0.592,0,0,0,0.531,0,1,203.49,5.327,82009.6,0,114705,792,5.327,7.041,161.694,29637.8,0.768,"Not Rumor"
"أمير مكة يوجه بالقبض على شباب قاموا بالدخول لقسم التشريح في جامعة المؤسس",0.667,0,1,0.333,0,0.111,0.556,0,0,0.889,0,0.111,0,0,0,0.444,0,1,188.778,4.444,45341.2,0,19023,1468.56,4.444,0.222,33.222,1800.11,0.726,"Not Rumor"
"أوامر ملكيه بإعفاء محمد بن سلمان",0.004,0.033,0.504,0.512,0,0.48,0,0,0.201,0.049,0,0.951,0.004,0,0.471,0.053,0,1,231.615,3.475,19510.3,0,2476.14,946.918,3.475,73.857,5.029,11.082,0.475,Rumor
